Pattern,Size,supportT,supportN,GrowthRatio
"frozenset({'DLGAP5_EH', 'EXO1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'TPX2_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'BUB1B_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'SPAG5_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_EH', 'KIF20A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DLGAP5_H', 'DEPDC1_H'})",2,0.3684210526315789,0.0,inf
"frozenset({'EXO1_EH', 'ASPM_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'ASPM_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'ASPM_EH', 'DEPDC1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'ASPM_H', 'KIF14_H'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'KIF14_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF14_EH', 'DEPDC1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'EXO1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'EXO1_EH', 'KIF20A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF11_EH', 'TPX2_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'AURKA_EH', 'TPX2_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'BUB1B_EH', 'SPAG5_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'BUB1B_EH', 'DEPDC1_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'SPAG5_EH', 'KIF20A_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DEPDC1B_EH', 'SPAG5_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'KIF20A_EH', 'AURKA_EH'})",2,0.3684210526315789,0.0,inf
"frozenset({'DEPDC1_EH', 'AURKA_EH'})",2,0.3684210526315789,0.0,inf
frozenset({'GYPE_EL'}),1,0.3684210526315789,0.0,inf
"frozenset({'CENPF_EH', 'KIF11_EH', 'EXO1_EH', 'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",7,0.3508771929824561,0.0,inf
"frozenset({'AURKA_EH', 'TPX2_EH', 'CENPF_EH', 'KIF11_EH', 'DEPDC1_EH', 'KIF20A_EH', 'DLGAP5_EH'})",7,0.3508771929824561,0.0,inf
"frozenset({'CENPF_EH', 'KIF11_EH', 'DEPDC1_EH', 'DLGAP5_EH', 'ERCC6L_EH', 'KIF4A_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'AURKA_EH', 'CENPF_EH', 'TPX2_EH', 'KIF20A_EH', 'ERCC6L_EH', 'KIF4A_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'CENPF_EH', 'KIF11_EH', 'EXO1_EH', 'ASPM_EH', 'KIF14_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'CENPF_EH', 'EXO1_EH', 'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'CENPF_EH', 'KIF11_EH', 'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'CENPF_EH', 'KIF11_EH', 'EXO1_EH', 'ASPM_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'CENPF_EH', 'KIF11_EH', 'EXO1_EH', 'KIF14_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'CENPF_EH', 'TPX2_EH', 'KIF11_EH', 'KIF20A_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'AURKA_EH', 'CENPF_EH', 'TPX2_EH', 'KIF11_EH', 'KIF20A_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'AURKA_EH', 'CENPF_EH', 'TPX2_EH', 'KIF11_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'AURKA_EH', 'CENPF_EH', 'TPX2_EH', 'KIF20A_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'AURKA_EH', 'CENPF_EH', 'KIF11_EH', 'DEPDC1_EH', 'KIF20A_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'CENPF_EH', 'KIF11_EH', 'EXO1_EH', 'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'AURKA_EH', 'CENPF_EH', 'TPX2_EH', 'EXO1_EH', 'ASPM_EH', 'KIF20A_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'AURKA_EH', 'CENPF_EH', 'TPX2_EH', 'KIF11_EH', 'DEPDC1_EH', 'KIF20A_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'KIF11_EH', 'EXO1_EH', 'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'KIF11_EH', 'ASPM_EH', 'KIF14_EH', 'DEPDC1_EH', 'DLGAP5_EH', 'BUB1B_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'AURKA_EH', 'TPX2_EH', 'KIF11_EH', 'DEPDC1_EH', 'KIF20A_EH', 'DLGAP5_EH'})",6,0.3508771929824561,0.0,inf
"frozenset({'TOP2A_EH', 'TPX2_EH', 'KIF20A_EH', 'ERCC6L_EH', 'KIF4A_EH'})",5,0.3508771929824561,0.0,inf
"frozenset({'TOP2A_EH', 'CENPF_EH', 'KIF11_EH', 'DEPDC1_EH', 'DLGAP5_EH'})",5,0.3508771929824561,0.0,inf
"frozenset({'TOP2A_EH', 'AURKA_EH', 'CENPF_EH', 'TPX2_EH', 'KIF20A_EH'})",5,0.3508771929824561,0.0,inf
"frozenset({'TOP2A_EH', 'TPX2_EH', 'UHRF1_EH', 'KIF20A_EH', 'CDC6_EH'})",5,0.3508771929824561,0.0,inf
